No.,ID,Fungsi,Skenario yang Diuji,Hasil yang Diharapkan,Hasil Pengujian,Status,Durasi Otomatis (detik),Durasi Manual (detik)
23,TC008,Kepengurusan,"Mengubah data pengurus yang sudah ada","Perubahan data pengurus tersimpan","Pengurus berhasil diperbarui","Pass",3.0,360.0
24,TC005,Kepengurusan,"Menampilkan daftar pengurus dan membuka form tambah data","Daftar pengurus ditampilkan dan form tambah dapat dibuka","Daftar pengurus dan form tambah berhasil ditampilkan","Pass",103.9,180.0
25,TC011,Anggota,"Menambahkan anggota baru","Data anggota baru berhasil ditambahkan","Anggota baru berhasil ditambahkan","Pass",161.5,270.0
26,TC012,Anggota,"Menambahkan anggota dengan nama kosong","Sistem menolak data tanpa nama dan menampilkan validasi","Validasi nama kosong berhasil ditampilkan","Pass",216.7,330.0
27,TC014,Anggota,"Menghapus data anggota","Data anggota terpilih berhasil dihapus","Anggota berhasil dihapus","Pass",237.2,360.0
28,TC013,Anggota,"Mengubah data anggota yang sudah ada","Perubahan data anggota tersimpan","Anggota berhasil diperbarui","Pass",237.2,360.0
29,TC010,Anggota,"Menampilkan daftar, pencarian, dan filter anggota","Daftar anggota dapat ditampilkan, dicari, dan difilter","Daftar, pencarian, dan filter anggota berfungsi sesuai skenario","Pass",166.7,240.0
30,TC001,Autentikasi,"Login menggunakan kredensial yang valid (eksekusi duplikat sebelum perbaikan sesi)","Pengguna berhasil masuk dengan kredensial valid","Percobaan login pada eksekusi ini gagal karena penanganan sesi belum diperbarui; skenario yang sama telah berstatus Pass pada batch 25 TC sebelumnya dan kembali dikonfirmasi Pass setelah perbaikan (lihat baris 31)","Failed",0.5,120.0
31,TC038,Autentikasi,"Login menggunakan kredensial yang valid (pengujian ulang setelah perbaikan)","Pengguna berhasil masuk setelah perbaikan sesi","Login berhasil dengan sesi baru (fresh session)","Pass",1.2,180.0
32,TC012,Hak Akses,"Membedakan hak akses admin, editor, dan tamu (guest)","Setiap peran memperoleh hak akses sesuai ketentuan","Hak akses berdasarkan peran berfungsi sesuai skenario","Pass",1.8,240.0
33,TC025,Pengaturan,"Memperbarui pengaturan dan menampilkan halaman publik","Pengaturan tersimpan dan halaman publik menampilkan perubahan","Pengaturan berhasil diperbarui dan tampil pada halaman publik","Pass",363.9,540.0
34,TC009,Profil Organisasi,"Memperbarui informasi profil organisasi (About)","Perubahan informasi profil tersimpan dan tampil","Informasi profil organisasi berhasil diperbarui","Pass",1.5,180.0
35,TC010,Kontak,"Memperbarui informasi kontak","Perubahan informasi kontak tersimpan dan tampil","Informasi kontak berhasil diperbarui","Pass",1.6,180.0
36,TC008,Beranda,"Memperbarui konten pengaturan beranda","Perubahan konten beranda tersimpan dan tampil","Konten beranda berhasil diperbarui","Pass",1.7,180.0
37,TC023,Pengguna,"Menambahkan pengguna dengan email duplikat dan kata sandi pendek","Sistem menolak data dengan email duplikat/kata sandi pendek","Validasi email duplikat dan kata sandi pendek berhasil ditampilkan","Pass",336.5,510.0
38,TC022,Pengguna,"Menambahkan pengguna baru","Akun pengguna baru berhasil dibuat","Pengguna baru berhasil ditambahkan","Pass",310.0,480.0
39,TC024,Pengguna,"Mengubah dan menghapus akun pengguna, serta mencegah penghapusan akun sendiri","Operasi ubah/hapus berjalan dan penghapusan akun sendiri dicegah","Operasi ubah dan hapus pengguna berhasil, termasuk pencegahan self-delete","Pass",3.2,420.0
